Date,Open*,High,Low,Close**,Volume,Market Cap,,
2016-08-04,6.20E-09,6.47E-09,6.21E-09,6.40E-09,1,-,,685
2016-08-05,6.40E-09,6.58E-09,5.41E-09,6.50E-09,7,-,,684
2016-08-06,6.50E-09,6.88E-09,5.42E-09,5.70E-09,6,-,,683
2016-08-07,5.70E-09,6.90E-09,5.63E-09,6.50E-09,8,-,,682
2016-08-08,6.40E-09,7.10E-09,5.84E-09,7.00E-09,20,-,,681
2016-08-09,6.90E-09,7.76E-09,5.22E-09,5.30E-09,67,-,,680
2016-08-10,5.30E-09,1.17E-08,5.30E-09,9.40E-09,214,-,,679
2016-08-11,9.50E-09,1.19E-08,8.92E-09,9.30E-09,61,-,,678
2016-08-12,9.40E-09,9.46E-09,6.19E-09,8.90E-09,16,-,,677
2016-08-13,8.90E-09,8.98E-09,5.42E-09,7.80E-09,20,-,,676
2016-08-14,7.80E-09,8.35E-09,7.07E-09,8.10E-09,2,-,,675
2016-08-15,8.20E-09,9.05E-09,6.80E-09,6.90E-09,0,-,,674
2016-08-16,7.00E-09,7.89E-09,6.04E-09,7.50E-09,1,-,,673
2016-08-17,7.70E-09,8.35E-09,6.41E-09,6.90E-09,7,-,,672
2016-08-18,6.90E-09,7.14E-09,6.31E-09,6.40E-09,7,-,,671
2016-08-19,9.00E-09,9.10E-09,6.20E-09,6.60E-09,1,-,,670
2016-08-20,6.70E-09,7.86E-09,6.09E-09,6.10E-09,10,-,,669
2016-08-21,6.10E-09,8.34E-09,6.12E-09,7.50E-09,1,-,,668
2016-08-22,7.60E-09,7.83E-09,5.99E-09,7.50E-09,2,-,,667
2016-08-23,7.50E-09,7.70E-09,6.01E-09,6.10E-09,7,-,,666
2016-08-24,6.10E-09,6.89E-09,6.04E-09,6.20E-09,1,-,,665
2016-08-25,6.20E-09,7.36E-09,6.10E-09,7.30E-09,4,-,,664
2016-08-26,7.20E-09,7.46E-09,6.13E-09,6.20E-09,9,-,,663
2016-08-27,6.20E-09,7.27E-09,6.12E-09,6.60E-09,3,-,,662
2016-08-28,6.60E-09,7.13E-09,6.51E-09,6.80E-09,3,-,,661
2016-08-29,6.80E-09,6.90E-09,6.15E-09,6.20E-09,0,-,,660
2016-08-30,6.10E-09,6.83E-09,6.15E-09,6.40E-09,2,-,,659
2016-08-31,6.40E-09,6.49E-09,6.37E-09,6.40E-09,10,-,,658
2016-09-01,6.40E-09,6.49E-09,6.33E-09,6.30E-09,7,-,,657
2016-09-02,6.30E-09,6.52E-09,5.25E-09,6.40E-09,27,-,,656
2016-09-03,6.40E-09,6.49E-09,5.28E-09,5.60E-09,2,-,,655
